Film,Genre
Chimes at Midnight,War
Christine,Drama
Christine,Horror
Christine,Mystery
Christine,Thriller
"Chronicles of Narnia: The Lion, the Witch & the Wardrobe",Adventure
"Chronicles of Narnia: The Lion, the Witch & the Wardrobe",Family
"Chronicles of Narnia: The Lion, the Witch & the Wardrobe",Fantasy
Circus,Crime
Circus,Thriller
Circus,Drama
City of God,Crime
City of God,Drama
Class of 1999,Action
Class of 1999,Horror
Class of 1999,Sci-Fi
Clear & Present Danger,Action
Clear & Present Danger,Drama
Clear & Present Danger,Thriller
Cloverfield,Action
Cloverfield,Sci-Fi
Cloverfield,Thriller
Collateral,Crime
Collateral,Drama
Collateral,Thriller
Collateral Damage,Action
Collateral Damage,Drama
Collateral Damage,Thriller
Come Drink With Me,Crime
Come and See,Drama
Come and See,History
Come and See,War
Commando,Action
Commando,Thriller
Companeros,Western
Companeros,Comedy
Con Air,Action
Con Air,Crime
Con Air,Thriller
Conan the Barbarian,Action
Conan the Barbarian,Fantasy
Conan the Barbarian,Adventure
Confessions of a,Biography
Confessions of a,Comedy
Confessions of a,Crime
Confessions of a,Drama
Confessions of a,Thriller
Congo,Action
Congo,Adventure
Congo,Mystery
Conspiracy Theory,Action
Conspiracy Theory,Crime
Conspiracy Theory,Mystery
Conspiracy Theory,Romance
Conspiracy Theory,Thriller
Constantine,Fantasy
Constantine,Horror
Contract Killer,Action
Contract Killer,Comedy
Cradle 2 the Grave,Action
Cradle 2 the Grave,Crime
Cradle 2 the Grave,Drama
Cradle 2 the Grave,Thriller
Crank,Action
Crank,Crime
Crank,Thriller
Creepshow,Comedy
Creepshow,Horror
Crime Spree,Action
Crime Spree,Comedy
Crime Spree,Crime
Cross of Iron,Action
Cross of Iron,Drama
Cross of Iron,War
"Crouching Tiger, Hidden Dragon",Action
"Crouching Tiger, Hidden Dragon",Drama
"Crouching Tiger, Hidden Dragon",Romance
Crying Freeman,Action
Crying Freeman,Crime
Crying Freeman,Thriller
Dark Blue,Crime
Dark Blue,Drama
Dark Blue,Thriller
Das Boot,Action
Das Boot,Adventure
Das Boot,Drama
Dawn of the Dead,Action
Dawn of the Dead,Horror
Dawn of the Dead,Action
Dawn of the Dead,Horror
Dawn of the Dead,Sci-Fi
Dawn of the Dead,Thriller
Day of the Dead,Horror
Death Rides a Horse,Western
Death Sentence,Action
Death Sentence,Crime
Death Sentence,Drama
Death Sentence,Thriller
Death Wish 3,Action
Death Wish 3,Crime
Death Wish 3,Drama
Death Wish 4: The Crackdown,Action
Death Wish 4: The Crackdown,Crime
Death Wish 4: The Crackdown,Drama
Death to Smoochy,Comedy
Death to Smoochy,Crime
Death to Smoochy,Drama
Death to Smoochy,Thriller
Delta Force 2,Action
Delta Force 2,Adventure
Delta Force 2,Thriller
Delta Force 2,War
Demolition Man,Action
Demolition Man,Crime
Demolition Man,Sci-Fi
Demolition Man,Thriller
Desperado,Action
Desperado,Crime
Desperado,Thriller
Diamonds are Forever,Action
Diamonds are Forever,Adventure
Diamonds are Forever,Crime
Diamonds are Forever,Thriller
Die Hard,Action
Die Hard,Thriller
Die Hard 2,Action
Die Hard 2,Thriller
Die Hard: With a Vengeance,Action
Die Hard: With a Vengeance,Crime
Die Hard: With a Vengeance,Thriller
District 9,Action
District 9,Sci-Fi
District 9,Thriller
District B13,Action
District B13,Sci-Fi
District B13,Thriller
Disturbia,Drama
Disturbia,Mystery
Disturbia,Thriller
Domino,Action
Domino,Biography
Domino,Crime
Domino,Drama
Domino,Thriller
Donnie Darko,Drama
Donnie Darko,Mystery
Donnie Darko,Sci-Fi
Doom,Action
Doom,Adventure
Doom,Horror
Doomsday,Action
Doomsday,Sci-Fi
Dr. No,Action
Dr. No,Adventure
Dr. No,Crime
Dr. No,Thriller
Dr. Strangelove,Comedy
Dr. Strangelove,Sci-Fi
Dr. Strangelove,War
Dracula,Drama
Dracula,Fantasy
Dracula,Horror
Dracula 2000,Horror
Dracula 2000,Thriller
Dune,Action
Dune,Adventure
Dune,Sci-Fi
El Cid,Adventure
El Cid,Biography
El Cid,Drama
El Topo,Western
Enemy at the Gates,Drama
Enemy at the Gates,History
Enemy at the Gates,Thriller
Equilibrium,Action
Equilibrium,Drama
Equilibrium,Sci-Fi
Equilibrium,Thriller
Eraser,Action
Eraser,Drama
Eraser,Mystery
Eraser,Thriller
Escape From New York,Action
Escape From New York,Sci-Fi
Evil Dead II: Dead by Dawn,Comedy
Evil Dead II: Dead by Dawn,Horror
Excalibur,Action
Excalibur,Drama
Excalibur,Fantasy
eXistenZ,Sci-Fi
Exit Wounds,Action
Exit Wounds,Comedy
Exit Wounds,Crime
Exit Wounds,Drama
Exit Wounds,Thriller
Face/Off,Action
Face/Off,Crime
Face/Off,Sci-Fi
Face/Off,Thriller
Fair Game,Action
Fair Game,Thriller
Fantastic Four: Rise of the Silver Surfer,Action
Fantastic Four: Rise of the Silver Surfer,Fantasy
Fantastic Four: Rise of the Silver Surfer,Sci-Fi
Fantastic Four: Rise of the Silver Surfer,Thriller
Fear and Loathing in Las Vegas,Adventure
Fear and Loathing in Las Vegas,Comedy
Fearless,Action
Fearless,Biography
Fearless,Drama
Fearless,Sport
Fight Club,Drama
Firewall,Crime
Firewall,Thriller
Flags of Our Fathers,Drama
Flags of Our Fathers,History
Flags of Our Fathers,War
Fool's Gold,Adventure
Fool's Gold,Comedy
Fool's Gold,Romance
Fool's Gold,Thriller
For Your Eyes Only,Action
For Your Eyes Only,Adventure
For Your Eyes Only,Crime
For Your Eyes Only,Thriller
For a Few Dollars More,Western
Formula 51,Action
Formula 51,Comedy
Formula 51,Crime
Formula 51,Thriller
Four Brothers,Action
Four Brothers,Crime
Four Brothers,Drama
Four Brothers,Mystery
Four Brothers,Thriller
Friday the 13th,Horror
From Dusk Till Dawn,Action
From Dusk Till Dawn,Crime
From Dusk Till Dawn,Horror
From Dusk Till Dawn 2: Texas Blood Money,Comedy
From Dusk Till Dawn 2: Texas Blood Money,Crime
From Dusk Till Dawn 2: Texas Blood Money,Horror
From Russia With Love,Action
From Russia With Love,Adventure
From Russia With Love,Crime
From Russia With Love,Thriller
Galaxy Quest,Adventure
Galaxy Quest,Comedy
Galaxy Quest,Sci-Fi
Gallipoli,Action
Gallipoli,Drama
Gallipoli,History
Gangs of New York,Crime
Gangs of New York,Drama
Gangs of New York,History
Gangster No. 1,Crime
Gangster No. 1,Drama
Gangster No. 1,Thriller
Get Carter,Action
Get Carter,Crime
Get Carter,Drama
Get Carter,Thriller
Ghost Rider,Action
Ghost Rider,Fantasy
Ghost Rider,Thriller
Glory,Drama
Glory,History
Glory,War
GoldenEye,Action
GoldenEye,Crime
GoldenEye,Thriller
Grindhouse: Death Proof,Action
Grindhouse: Death Proof,Thriller
Grindhouse: Double Feature,Action
Grindhouse: Double Feature,Horror
Grindhouse: Double Feature,Thriller
Grindhouse: Planet Terror,Action
Grindhouse: Planet Terror,Horror
Hamburger Hill,Drama
Hamburger Hill,War
Hamburger Hill,Action
Hamlet,Drama
Hamlet,Romance
Hannibal,Crime
Hannibal,Drama
Hannibal,Thriller
Hard Boiled,Action
Hard Boiled,Crime
Hard Boiled,Drama
Hard Boiled,Thriller
Hard to Kill,Action
Hard to Kill,Drama
Hard to Kill,Crime
Hard to Kill,Thriller
Harry Potter & the Goblet of Fire,Adventure
Harry Potter & the Goblet of Fire,Family
Harry Potter & the Goblet of Fire,Fantasy
Harry Potter & the Goblet of Fire,Mystery
Heat,Action
Heat,Crime
Heat,Drama
Heat,Thriller
Hellboy,Action
Hellboy,Adventure
Hellboy,Fantasy
Hellboy,Sci-Fi
Hero,Action
Hero,Drama
Hero,History
Hitman,Action
Hitman,Crime
Hitman,Drama
Hitman,Thriller
Hollow Point,Thriller
Hollow Point,Comedy
Hollow Point,Action
Hostage,Crime
Hostage,Drama
Hostage,Mystery
Hostage,Thriller
Hot Fuzz,Action
Hot Fuzz,Comedy
Hot Shots!,Action
Hot Shots!,Comedy
Hot Shots!,War
Hot Shots! Part Deux,Action
Hot Shots! Part Deux,Comedy
Hot Shots! Part Deux,War
House of the Dead,Action
House of the Dead,Horror
House of the Dead,Thriller
House on Haunted Hill,Horror
House on Haunted Hill,Mystery
House on Haunted Hill,Thriller
I Am Legend,Drama
I Am Legend,Sci-Fi
I Am Legend,Thriller
"I, Robot",Action
"I, Robot",Mystery
"I, Robot",Sci-Fi
In Bruges,Comedy
In Bruges,Crime
In Bruges,Drama
In Bruges,Thriller
In the Name of the King: A Dungeon Siege Tale,Action
In the Name of the King: A Dungeon Siege Tale,Adventure
In the Name of the King: A Dungeon Siege Tale,Drama
Independence Day,Action
Independence Day,Sci-Fi
Indiana Jones & the Kingdom of the Crystal Skull,Action
Indiana Jones & the Kingdom of the Crystal Skull,Adventure
Indiana Jones and the Last Crusade,Action
Indiana Jones and the Last Crusade,Adventure
Indiana Jones and the Temple of Doom,Action
Indiana Jones and the Temple of Doom,Adventure
Inglourious Basterds,Adventure
Inglourious Basterds,Drama
Inglourious Basterds,War
Inside Man,Crime
Inside Man,Drama
Inside Man,Thriller
Invasion U.S.A.,Action
Invasion U.S.A.,Thriller
Iron Man,Action
Iron Man,Adventure
Iron Man,Sci-Fi
Jack Brooks: Monster Slayer,Action
Jack Brooks: Monster Slayer,Comedy
Jack Brooks: Monster Slayer,Horror
Jackie Brown,Crime
Jackie Brown,Drama
Jackie Brown,Thriller
Jason X,Horror
Jason X,Sci-Fi
Jason X,Thriller
Jumper,Action
Jumper,Adventure
Jumper,Sci-Fi
Jumper,Thriller
Jurassic Park III,Action
Jurassic Park III,Adventure
Jurassic Park III,Fantasy
Jurassic Park III,Sci-Fi
Jurassic Park III,Thriller
K-19: The Widowmaker,Drama
K-19: The Widowmaker,History
K-19: The Widowmaker,Thriller
K-19: The Widowmaker,War
Kelly's Heroes,Action
Kelly's Heroes,Adventure
Kelly's Heroes,Comedy
Kelly's Heroes,War
Keoma,Action
Keoma,Drama
Keoma,Western
Kick-Ass,Action
Kick-Ass,Comedy
Kill Bill: Vol. 1,Action
Kill Bill: Vol. 1,Crime
Kill Bill: Vol. 2,Action
Kill Bill: Vol. 2,Crime
Kill Bill: Vol. 2,Thriller
King Arthur,Action
King Arthur,Adventure
King Arthur,Drama
King Kong,Action
King Kong,Adventure
King Kong,Drama
King Kong,Romance
King of New York,Crime
King of New York,Thriller
Kingdom of Heaven,Action
Kingdom of Heaven,Adventure
Kingdom of Heaven,Drama
Kingdom of Heaven,History
Kingdom of Heaven,War
Kiss Kiss Bang Bang,Action
Kiss Kiss Bang Bang,Comedy
Kiss Kiss Bang Bang,Crime
Kiss Kiss Bang Bang,Mystery
Kung Fu Hustle,Action
Kung Fu Hustle,Comedy
Kung Fu Hustle,Crime
Kung Fu Hustle,Fantasy
Land of the Dead,Horror
Land of the Dead,Sci-Fi
Last Action Hero,Action
Last Action Hero,Adventure
Last Action Hero,Comedy
Last Action Hero,Family
Last Action Hero,Fantasy
Last Man Standing,Action
Last Man Standing,Crime
Last Man Standing,Drama
Lawrence of Arabia,Adventure
Lawrence of Arabia,Biography
Lawrence of Arabia,Drama
Layer Cake,Crime
Layer Cake,Drama
Layer Cake,Thriller
League of Extraordinary Gentlemen,Action
League of Extraordinary Gentlemen,Adventure
League of Extraordinary Gentlemen,Fantasy
Leon,Crime
Leon,Drama
Leon,Thriller
Leon,Crime
Leon,Drama
Leon,Thriller
Lethal Weapon,Action
Lethal Weapon,Crime
Lethal Weapon,Thriller
Lethal Weapon 2,Action
Lethal Weapon 2,Thriller
Lethal Weapon 3,Action
Lethal Weapon 3,Crime
Lethal Weapon 3,Thriller
Lethal Weapon 4,Action
Lethal Weapon 4,Crime
Lethal Weapon 4,Thriller
Letters from Iwo Jima,Drama
Letters from Iwo Jima,History
Letters from Iwo Jima,War
Live and Let Die,Action
Live and Let Die,Adventure
Live and Let Die,Crime
Live and Let Die,Thriller
"Lock, Stock and Two Smoking Barrels",Crime
"Lock, Stock and Two Smoking Barrels",Thriller
Lone Wolf McQuade,Action
Lone Wolf McQuade,Crime
Lone Wolf McQuade,Drama
Lone Wolf and Cub: Baby Cart in the Land of Demons,Action
Lone Wolf and Cub: Baby Cart in the Land of Demons,Drama
Lone Wolf and Cub: Baby Cart in the Land of Demons,Thriller
Lone Wolf and Cub: Baby Cart to Hades,Action
Lone Wolf and Cub: Baby Cart to Hades,Drama
Lone Wolf and Cub: Sword of Vengeance,Action
Lone Wolf and Cub: Sword of Vengeance,Drama
Lone Wolf and Cub: White Heaven in Hell,Action
Lone Wolf and Cub: White Heaven in Hell,Drama
Lone Wolf and Cub: White Heaven in Hell,Fantasy
Lone Wolf and Cub: White Heaven in Hell,History
Lord of the Rings: Fellowship of the Ring,Action
Lord of the Rings: Fellowship of the Ring,Adventure
Lord of the Rings: Fellowship of the Ring,Fantasy
Lord of the Rings: Return of the King,Action
Lord of the Rings: Return of the King,Adventure
Lord of the Rings: Return of the King,Fantasy
Lord of the Rings: Two Towers,Action
Lord of the Rings: Two Towers,Adventure
Lord of the Rings: Two Towers,Fantasy
Lucky Number Slevin,Crime
Lucky Number Slevin,Drama
Lucky Number Slevin,Mystery
Machete,Action
Machete,Crime
Machete,Thriller
Mad Max,Action
Mad Max,Adventure
Mad Max,Thriller
Mad Max 2: Road Warrior,Action
Mad Max 2: Road Warrior,Adventure
Mad Max 2: Road Warrior,Thriller
Mad Max Beyond Thunderdome,Action
Mad Max Beyond Thunderdome,Adventure
Mad Max Beyond Thunderdome,Thriller
Major Dundee,Adventure
Major Dundee,War
Major Dundee,Western
Marked for Death,Action
Marked for Death,Crime
Marked for Death,Drama
Marked for Death,Thriller
Master and Commander: The Far Side of the World,Action
Master and Commander: The Far Side of the World,Adventure
Master and Commander: The Far Side of the World,Drama
Maverick,Action
Maverick,Adventure
Maverick,Comedy
Maverick,Thriller
Maverick,Western
Max Payne,Action
Max Payne,Crime
Max Payne,Drama
Max Payne,Mystery
Max Payne,Thriller
Maximum Risk,Action
Maximum Risk,Adventure
Maximum Risk,Crime
Maximum Risk,Thriller
McBain,Action
McBain,Drama
Mean Machine,Comedy
Mean Machine,Drama
Mean Machine,Sport
Memento,Mystery
Memento,Thriller
Milk,Biography
Milk,Drama
Milk,History
Minority Report,Action
Minority Report,Mystery
Minority Report,Sci-Fi
Minority Report,Thriller
Missing in Action,Action
Missing in Action,Adventure
Missing in Action,Drama
Missing in Action,Thriller
Missing in Action,War
Mission: Impossible,Action
Mission: Impossible,Adventure
Mission: Impossible,Thriller
Mission: Impossible II,Action
Mission: Impossible II,Adventure
Mission: Impossible II,Thriller
Mission: Impossible III,Action
Mission: Impossible III,Adventure
Mission: Impossible III,Thriller
Mongol: The Rise of Genghis Khan,Biography
Mongol: The Rise of Genghis Khan,Drama
Mongol: The Rise of Genghis Khan,History
Monty Python and the Holy Grail,Adventure
Monty Python and the Holy Grail,Comedy
Monty Python and the Holy Grail,Fantasy
Mortal Kombat,Action
Mortal Kombat,Adventure
Mortal Kombat,Fantasy
Mortal Kombat,Sci-Fi
Mortal Kombat,Thriller
Mr. & Mrs. Smith,Action
Mr. & Mrs. Smith,Comedy
Mr. & Mrs. Smith,Romance
Mr. Brooks,Crime
Mr. Brooks,Drama
Mr. Brooks,Mystery
Mr. Brooks,Thriller
Mulan,Animation
Mulan,Adventure
Mulan,Family
Munich,Drama
Munich,History
Munich,Thriller
Mutant Chronicles,Action
Mutant Chronicles,Adventure
Mutant Chronicles,Horror
My Bloody Valentine 3D,Horror
My Bloody Valentine 3D,Thriller
Natural Born Killers,Crime
Natural Born Killers,Drama
Navajo Joe,Western
Next,Action
Next,Sci-Fi
Next,Thriller
Ninja Assassin,Action
Ninja Assassin,Crime
